time,EVT_TYPE,sym,tradePrice
00:00.2,MarketPrice,GCQ8,1302.3
00:00.3,MarketPrice,GCQ8,1302.2
00:00.8,MarketPrice,GCQ8,1302.1
00:02.4,MarketPrice,GCQ8,1302.2
00:02.4,MarketPrice,GCQ8,1302.2
00:03.2,MarketPrice,PLN8,905.6
00:03.9,MarketPrice,PLN8,905.7
00:04.6,MarketPrice,PLN8,905.7
00:04.8,MarketPrice,GCQ8,1302.3
00:04.8,MarketPrice,GCQ8,1302.3
00:05.2,MarketPrice,GCQ8,1302.3
00:05.2,MarketPrice,GCQ8,1302.3
00:05.2,MarketPrice,GCQ8,1302.3
00:05.3,MarketPrice,GCQ8,1302.3
00:05.3,MarketPrice,GCQ8,1302.3
00:06.0,MarketPrice,GCQ8,1302.3
00:06.0,MarketPrice,GCQ8,1302.3
00:08.5,MarketPrice,GCQ8,1302.3
00:08.6,MarketPrice,GCQ8,1302.3
00:08.8,MarketPrice,GCQ8,1302.3
00:08.8,MarketPrice,GCQ8,1302.3
00:10.5,MarketPrice,GCQ8,1302.3
00:10.5,MarketPrice,GCQ8,1302.3
00:10.6,MarketPrice,GCQ8,1302.4
00:11.0,MarketPrice,PLN8,905.7
00:11.0,MarketPrice,PLV8,910.5
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.5,MarketPrice,GCQ8,1302.3
00:13.8,MarketPrice,GCQ8,1302.3
00:14.0,MarketPrice,GCQ8,1302.3
00:20.3,MarketPrice,GCQ8,1302.3
00:21.2,MarketPrice,PLN8,905.8
00:29.0,MarketPrice,GCQ8,1302.4
00:29.4,MarketPrice,GCQ8,1302.3
00:29.5,MarketPrice,GCQ8,1302.4
00:29.9,MarketPrice,GCQ8,1302.4
00:36.4,MarketPrice,GCQ8,1302.4
00:37.2,MarketPrice,GCQ8,1302.4
00:38.2,MarketPrice,PLN8,905.7
00:39.1,MarketPrice,GCQ8,1302.5
00:40.9,MarketPrice,GCQ8,1302.4
00:40.9,MarketPrice,GCQ8,1302.4
00:40.9,MarketPrice,GCQ8,1302.4
00:42.8,MarketPrice,GCQ8,1302.4
00:43.2,MarketPrice,GCQ8,1302.5
00:43.3,MarketPrice,GCQ8,1302.5
00:46.8,MarketPrice,GCQ8,1302.4
00:47.6,MarketPrice,GCQ8,1302.4
00:47.8,MarketPrice,GCQ8,1302.4
00:49.9,MarketPrice,SIN8,16.935
00:50.7,MarketPrice,SIN8,16.935
00:50.7,MarketPrice,SIN8,16.935
00:51.2,MarketPrice,PLN8,905.9
00:52.9,MarketPrice,SIN8,16.935
00:53.1,MarketPrice,SIN8,16.935
00:56.1,MarketPrice,GCQ8,1302.4
00:59.2,MarketPrice,SIN8,16.935
01:03.2,MarketPrice,GCQ8,1302.5
01:03.2,MarketPrice,PLN8,905.9
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.5,MarketPrice,GCQ8,1302.4
01:15.6,MarketPrice,GCQ8,1302.4
01:16.9,MarketPrice,SIN8,16.935
01:21.2,MarketPrice,PLN8,905.8
01:28.6,MarketPrice,GCQ8,1302.3
01:28.9,MarketPrice,GCQ8,1302.2
01:28.9,MarketPrice,GCQ8,1302.2
01:29.0,MarketPrice,PLN8,905.6
01:29.1,MarketPrice,GCQ8,1302.2
01:29.1,MarketPrice,GCQ8,1302.2
01:29.1,MarketPrice,GCQ8,1302.2
01:29.1,MarketPrice,GCQ8,1302.2
01:29.1,MarketPrice,PLN8,905.5
01:29.1,MarketPrice,PLN8,905.5
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,SIN8,16.93
01:29.1,MarketPrice,PAU8,1015
01:30.0,MarketPrice,PLN8,905.5
01:33.3,MarketPrice,GCQ8,1302.2
01:33.3,MarketPrice,GCQ8,1302.2
01:33.3,MarketPrice,GCQ8,1302.2
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,SIN8,16.93
01:33.3,MarketPrice,PLN8,905.6
01:36.5,MarketPrice,SIN8,16.93
01:36.5,MarketPrice,SIN8,16.93
01:36.6,MarketPrice,GCQ8,1302.2
01:36.6,MarketPrice,PLN8,905.5
01:36.8,MarketPrice,GCQ8,1302.1
01:36.8,MarketPrice,GCQ8,1302.1
01:36.8,MarketPrice,GCQ8,1302.1
01:36.8,MarketPrice,GCQ8,1302.1
01:36.8,MarketPrice,GCQ8,1302.1
01:36.8,MarketPrice,GCQ8,1302.1
01:36.9,MarketPrice,GCQ8,1302.1
01:36.9,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:39.2,MarketPrice,GCQ8,1302.1
01:40.0,MarketPrice,SIN8,16.93
01:40.8,MarketPrice,GCQ8,1302
01:41.5,MarketPrice,GCQ8,1302.1
01:41.5,MarketPrice,GCQ8,1302.1
01:41.5,MarketPrice,GCQ8,1302.1
01:41.5,MarketPrice,GCQ8,1302.1
01:41.5,MarketPrice,GCQ8,1302.1
01:43.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:44.9,MarketPrice,GCQ8,1302.1
01:45.0,MarketPrice,SIN8,16.93
01:45.0,MarketPrice,PLN8,905.5
01:45.0,MarketPrice,GCQ8,1302.1
01:45.0,MarketPrice,SIN8,16.93
01:45.0,MarketPrice,GCQ8,1302.1
01:45.0,MarketPrice,GCQ8,1302.1
01:45.0,MarketPrice,PLN8,905.5
01:45.4,MarketPrice,GCQ8,1302
01:45.8,MarketPrice,GCQ8,1302
01:47.1,MarketPrice,GCQ8,1302.1
01:47.5,MarketPrice,GCQ8,1302
01:47.5,MarketPrice,PLN8,905.4
01:47.5,MarketPrice,PLN8,905.4
01:47.5,MarketPrice,PLN8,905.4
01:47.5,MarketPrice,PLN8,905.4
01:47.5,MarketPrice,GCQ8,1302
01:47.5,MarketPrice,GCQ8,1302
01:47.5,MarketPrice,GCQ8,1302
01:47.5,MarketPrice,GCQ8,1302
01:47.6,MarketPrice,GCQ8,1302
01:47.6,MarketPrice,GCQ8,1302
01:47.6,MarketPrice,GCQ8,1302
01:47.9,MarketPrice,PLN8,905.4
01:47.9,MarketPrice,GCQ8,1301.9
01:47.9,MarketPrice,GCQ8,1301.9
01:47.9,MarketPrice,GCQ8,1301.9
01:47.9,MarketPrice,GCQ8,1301.9
01:47.9,MarketPrice,PLN8,905.4
01:47.9,MarketPrice,PLN8,905.4
01:47.9,MarketPrice,SIN8,16.925
01:47.9,MarketPrice,SIN8,16.925
01:47.9,MarketPrice,SIN8,16.925
01:47.9,MarketPrice,SIN8,16.925
01:47.9,MarketPrice,SIN8,16.925
01:47.9,MarketPrice,SIN8,16.925
01:48.1,MarketPrice,GCQ8,1301.8
01:48.1,MarketPrice,GCQ8,1301.8
01:48.1,MarketPrice,GCQ8,1301.8
01:48.1,MarketPrice,GCQ8,1301.8
01:48.1,MarketPrice,GCQ8,1301.8
01:48.1,MarketPrice,GCQ8,1301.8
01:48.2,MarketPrice,GCQ8,1301.8
01:48.2,MarketPrice,GCQ8,1301.8
01:48.3,MarketPrice,GCQ8,1301.8
01:48.3,MarketPrice,GCQ8,1301.8
01:48.3,MarketPrice,GCQ8,1301.8
01:48.3,MarketPrice,GCQ8,1301.8
01:48.3,MarketPrice,GCQ8,1301.8
01:48.4,MarketPrice,GCQ8,1301.8
01:48.5,MarketPrice,GCQ8,1301.8
01:48.6,MarketPrice,GCQ8,1301.8
01:48.6,MarketPrice,GCQ8,1301.8
01:48.6,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,GCQ8,1301.8
01:49.0,MarketPrice,PLN8,905.3
01:49.6,MarketPrice,PLN8,905.3
01:49.6,MarketPrice,PLN8,905.3
01:49.6,MarketPrice,GCQ8,1301.7
01:49.6,MarketPrice,GCQ8,1301.7
01:49.7,MarketPrice,GCQ8,1301.8
01:49.7,MarketPrice,GCQ8,1301.8
01:49.7,MarketPrice,GCQ8,1301.8
01:49.7,MarketPrice,GCQ8,1301.8
01:50.1,MarketPrice,GCQ8,1301.9
01:52.1,MarketPrice,GCQ8,1301.8
01:52.1,MarketPrice,GCQ8,1301.8
01:52.1,MarketPrice,GCQ8,1301.8
01:52.1,MarketPrice,GCQ8,1301.8
01:52.1,MarketPrice,GCQ8,1301.8
01:52.7,MarketPrice,GCQ8,1301.8
01:52.7,MarketPrice,GCQ8,1301.8
01:52.7,MarketPrice,GCQ8,1301.8
01:52.7,MarketPrice,GCQ8,1301.8
01:53.3,MarketPrice,GCQ8,1301.8
01:53.3,MarketPrice,GCQ8,1301.8
01:53.3,MarketPrice,GCQ8,1301.8
01:53.3,MarketPrice,GCQ8,1301.8
01:53.3,MarketPrice,GCQ8,1301.8
01:54.4,MarketPrice,GCQ8,1301.8
01:54.4,MarketPrice,GCQ8,1301.8
01:54.5,MarketPrice,GCQ8,1301.9
01:54.5,MarketPrice,GCQ8,1301.9
01:54.5,MarketPrice,GCQ8,1301.9
01:54.5,MarketPrice,GCQ8,1301.9
01:54.5,MarketPrice,GCQ8,1301.9
01:54.5,MarketPrice,GCQ8,1301.9
01:54.5,MarketPrice,GCQ8,1301.9
01:55.1,MarketPrice,GCQ8,1301.9
01:55.1,MarketPrice,GCQ8,1302
01:55.1,MarketPrice,GCQ8,1302
01:55.2,MarketPrice,GCQ8,1302
01:55.2,MarketPrice,GCQ8,1302
01:55.2,MarketPrice,PLN8,905.3
01:55.2,MarketPrice,PLN8,905.4
01:55.2,MarketPrice,SIN8,16.925
01:55.2,MarketPrice,SIN8,16.925
01:55.2,MarketPrice,SIN8,16.925
01:55.2,MarketPrice,SIN8,16.925
01:55.2,MarketPrice,SIN8,16.925
01:55.2,MarketPrice,PLN8,905.4
01:55.2,MarketPrice,SIN8,16.925
01:55.2,MarketPrice,SIN8,16.93
01:55.3,MarketPrice,SIN8,16.925
01:55.3,MarketPrice,GCQ8,1302
01:55.3,MarketPrice,GCQ8,1302
01:55.3,MarketPrice,GCQ8,1302
01:55.3,MarketPrice,GCQ8,1302
01:55.3,MarketPrice,GCQ8,1302
01:55.4,MarketPrice,GCQ8,1302
01:55.4,MarketPrice,GCQ8,1302
01:56.0,MarketPrice,PLN8,905.4
01:57.0,MarketPrice,GCQ8,1302
01:57.6,MarketPrice,SIN8,16.925
01:58.3,MarketPrice,GCQ8,1302
01:58.3,MarketPrice,GCQ8,1302
01:58.4,MarketPrice,GCQ8,1302
01:58.4,MarketPrice,GCQ8,1302
01:58.4,MarketPrice,GCQ8,1302
01:58.4,MarketPrice,GCQ8,1302
01:58.4,MarketPrice,GCQ8,1302
01:58.6,MarketPrice,GCQ8,1302
01:58.6,MarketPrice,GCQ8,1301.9
01:58.6,MarketPrice,GCQ8,1301.9
01:58.6,MarketPrice,GCQ8,1301.9
01:58.6,MarketPrice,GCQ8,1301.9
01:58.7,MarketPrice,GCQ8,1301.9
01:59.6,MarketPrice,GCQ8,1301.9
01:59.6,MarketPrice,PLN8,905.2
01:59.8,MarketPrice,SIN8,16.925
02:00.3,MarketPrice,GCQ8,1301.9
02:00.3,MarketPrice,GCQ8,1301.9
02:00.3,MarketPrice,GCQ8,1301.9
02:00.4,MarketPrice,GCQ8,1301.9
02:01.2,MarketPrice,GCQ8,1301.8
02:01.2,MarketPrice,GCQ8,1301.9
02:01.2,MarketPrice,GCQ8,1301.9
02:01.2,MarketPrice,GCQ8,1301.9
02:03.0,MarketPrice,GCQ8,1301.9
02:03.0,MarketPrice,SIN8,16.925
02:03.2,MarketPrice,GCQ8,1301.9
02:03.2,MarketPrice,GCQ8,1301.9
02:03.2,MarketPrice,GCQ8,1301.8
02:03.3,MarketPrice,GCQ8,1301.9
02:03.3,MarketPrice,GCQ8,1301.9
02:03.4,MarketPrice,GCQ8,1301.9
02:03.6,MarketPrice,GCQ8,1301.9
02:03.8,MarketPrice,GCQ8,1301.9
02:04.0,MarketPrice,PLN8,905.1
02:04.0,MarketPrice,PLN8,905.1
02:05.8,MarketPrice,GCQ8,1301.8
02:05.8,MarketPrice,GCQ8,1301.8
02:05.8,MarketPrice,GCQ8,1301.8
02:05.8,MarketPrice,SIN8,16.92
02:05.8,MarketPrice,PLN8,905
02:05.8,MarketPrice,SIN8,16.92
02:05.8,MarketPrice,SIN8,16.92
02:05.8,MarketPrice,GCQ8,1301.8
02:05.8,MarketPrice,GCQ8,1301.8
02:05.8,MarketPrice,SIN8,16.92
02:05.8,MarketPrice,SIN8,16.92
02:05.8,MarketPrice,SIN8,16.92
02:05.8,MarketPrice,SIN8,16.92
02:07.0,MarketPrice,GCQ8,1301.7
02:07.3,MarketPrice,GCQ8,1301.8
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:08.5,MarketPrice,SIN8,16.92
02:09.6,MarketPrice,GCQ8,1301.8
02:09.9,MarketPrice,PLN8,905
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.9
02:10.0,MarketPrice,GCQ8,1301.8
02:10.7,MarketPrice,GCQ8,1301.9
02:10.7,MarketPrice,GCQ8,1301.9
02:10.7,MarketPrice,GCQ8,1301.9
02:10.7,MarketPrice,GCQ8,1301.9
02:11.0,MarketPrice,PLN8,905.1
02:12.2,MarketPrice,GCQ8,1302
02:12.2,MarketPrice,GCQ8,1302
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,SIN8,16.925
02:12.2,MarketPrice,GCQ8,1302
02:12.3,MarketPrice,GCQ8,1302
02:12.3,MarketPrice,GCQ8,1302
02:12.3,MarketPrice,GCQ8,1302
02:12.4,MarketPrice,GCQ8,1302
02:12.4,MarketPrice,GCQ8,1302
02:12.4,MarketPrice,SIN8,16.925
02:12.4,MarketPrice,SIN8,16.925
02:12.4,MarketPrice,SIN8,16.925
02:12.5,MarketPrice,GCQ8,1302
02:14.8,MarketPrice,GCQ8,1301.9
02:14.8,MarketPrice,GCQ8,1301.9
02:14.8,MarketPrice,GCQ8,1301.9
02:14.8,MarketPrice,GCQ8,1301.9
02:15.6,MarketPrice,GCQ8,1301.9
02:15.7,MarketPrice,GCQ8,1302
02:15.7,MarketPrice,PLN8,905.3
02:15.8,MarketPrice,GCQ8,1302
02:15.8,MarketPrice,GCQ8,1302
