time,EVT_TYPE,sym,tradePrice
04:00.3,MarketPrice,GCQ8,1249.6
04:00.3,MarketPrice,GCQ8,1249.6
04:00.3,MarketPrice,GCQ8,1249.6
04:00.4,MarketPrice,GCQ8,1249.6
04:00.4,MarketPrice,GCQ8,1249.6
04:00.7,MarketPrice,PAU8,939.8
04:01.4,MarketPrice,GCQ8,1249.6
04:01.4,MarketPrice,GCQ8,1249.6
04:01.4,MarketPrice,GCQ8,1249.6
04:01.4,MarketPrice,PLV8,853
04:01.4,MarketPrice,PLV8,853
04:07.2,MarketPrice,GCQ8,1249.6
04:07.2,MarketPrice,GCQ8,1249.5
04:07.2,MarketPrice,GCQ8,1249.6
04:07.3,MarketPrice,GCQ8,1249.5
04:07.3,MarketPrice,GCQ8,1249.5
04:07.3,MarketPrice,GCQ8,1249.5
04:07.3,MarketPrice,GCQ8,1249.5
04:07.4,MarketPrice,GCQ8,1249.5
04:07.5,MarketPrice,GCQ8,1249.6
04:07.5,MarketPrice,GCQ8,1249.5
04:07.6,MarketPrice,GCQ8,1249.5
04:07.6,MarketPrice,GCQ8,1249.4
04:07.6,MarketPrice,GCQ8,1249.4
04:07.6,MarketPrice,GCQ8,1249.5
04:07.6,MarketPrice,PLV8,852.9
04:07.6,MarketPrice,GCQ8,1249.5
04:07.6,MarketPrice,GCQ8,1249.5
04:07.6,MarketPrice,GCQ8,1249.5
04:07.6,MarketPrice,GCQ8,1249.5
04:07.7,MarketPrice,GCQ8,1249.5
04:07.7,MarketPrice,GCQ8,1249.5
04:07.7,MarketPrice,GCQ8,1249.5
04:10.4,MarketPrice,GCQ8,1249.6
04:10.4,MarketPrice,GCQ8,1249.6
04:10.4,MarketPrice,GCQ8,1249.6
04:10.5,MarketPrice,GCQ8,1249.6
04:11.1,MarketPrice,GCQ8,1249.5
04:11.1,MarketPrice,GCQ8,1249.6
04:11.1,MarketPrice,GCQ8,1249.6
04:11.1,MarketPrice,GCQ8,1249.6
04:14.7,MarketPrice,GCQ8,1249.5
04:15.2,MarketPrice,GCQ8,1249.5
04:18.8,MarketPrice,PLV8,852.8
04:18.8,MarketPrice,PLV8,852.8
04:18.8,MarketPrice,PLV8,852.8
04:18.8,MarketPrice,PLV8,852.8
04:18.8,MarketPrice,GCQ8,1249.5
04:24.0,MarketPrice,GCQ8,1249.5
04:41.1,MarketPrice,GCQ8,1249.5
04:50.2,MarketPrice,SIU8,16.05
04:51.4,MarketPrice,GCQ8,1249.5
04:56.3,MarketPrice,GCQ8,1249.5
05:04.9,MarketPrice,SIU8,16.05
05:10.2,MarketPrice,GCQ8,1249.5
05:10.2,MarketPrice,GCQ8,1249.5
05:10.3,MarketPrice,GCV8,1255.2
05:10.5,MarketPrice,PLV8,852.7
05:19.2,MarketPrice,GCQ8,1249.6
05:28.4,MarketPrice,PLV8,852.8
05:33.1,MarketPrice,GCQ8,1249.5
05:34.7,MarketPrice,PLV8,852.9
05:34.9,MarketPrice,PAU8,939.9
05:34.9,MarketPrice,PAU8,940
05:35.9,MarketPrice,GCQ8,1249.6
05:35.9,MarketPrice,GCQ8,1249.6
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:36.0,MarketPrice,SIU8,16.055
05:44.2,MarketPrice,GCQ8,1249.6
05:46.7,MarketPrice,GCQ8,1249.6
05:46.7,MarketPrice,GCQ8,1249.6
05:46.7,MarketPrice,GCQ8,1249.6
05:46.7,MarketPrice,GCQ8,1249.6
05:47.2,MarketPrice,GCQ8,1249.6
05:47.2,MarketPrice,GCQ8,1249.6
05:48.8,MarketPrice,GCQ8,1249.6
05:51.7,MarketPrice,SIU8,16.05
05:58.8,MarketPrice,GCQ8,1249.6
06:02.4,MarketPrice,GCQ8,1249.6
06:03.2,MarketPrice,GCQ8,1249.6
06:03.2,MarketPrice,GCQ8,1249.6
06:03.6,MarketPrice,GCQ8,1249.6
06:04.4,MarketPrice,PAU8,940.3
06:04.4,MarketPrice,PAU8,940.5
06:04.4,MarketPrice,PAU8,940.7
06:04.4,MarketPrice,PAU8,940.8
06:04.4,MarketPrice,PAU8,940.9
06:04.4,MarketPrice,PAU8,941
06:04.4,MarketPrice,PAU8,941.1
06:07.8,MarketPrice,GCQ8,1249.7
06:07.9,MarketPrice,PLV8,853.1
06:07.9,MarketPrice,GCQ8,1249.6
06:07.9,MarketPrice,GCQ8,1249.6
06:08.1,MarketPrice,GCQ8,1249.6
06:10.4,MarketPrice,GCQ8,1249.6
06:10.4,MarketPrice,GCQ8,1249.6
06:14.1,MarketPrice,GCQ8,1249.6
06:16.5,MarketPrice,SIU8,16.05
06:23.3,MarketPrice,GCQ8,1249.6
06:23.3,MarketPrice,GCQ8,1249.6
06:23.3,MarketPrice,GCQ8,1249.6
06:25.4,MarketPrice,PAU8,940.8
06:25.4,MarketPrice,PAU8,941
06:25.4,MarketPrice,PAU8,941.1
06:25.4,MarketPrice,PAU8,941.2
06:29.5,MarketPrice,PLV8,853.1
06:29.6,MarketPrice,PLV8,853.2
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
